,Symbol
319,MHK
320,TAP
321,MDLZ
322,MNST
323,MCO
324,MS
325,MOS
326,MSI
327,MSCI
328,MYL
329,NDAQ
330,NOV
331,NTAP
332,NFLX
333,NWL
334,NEM
335,NWSA
336,NWS
337,NEE
338,NLSN
339,NKE
340,NI
341,NSC
342,NTRS
343,NOC
344,NLOK
345,NCLH
346,NRG
347,NUE
348,NVDA
349,NVR
350,ORLY
351,OXY
352,ODFL
353,OMC
354,OKE
355,ORCL
356,OTIS
357,PCAR
358,PKG
359,PH
360,PAYX
361,PAYC
362,PYPL
363,PNR
364,PBCT
365,PEP
366,PKI
367,PRGO
368,PFE
369,PM
370,PSX
371,PNW
372,PXD
373,PNC
374,POOL
375,PPG
376,PPL
377,PFG
378,PG
379,PGR
380,PLD
381,PRU
382,PEG
383,PSA
384,PHM
385,PVH
386,QRVO
387,PWR
388,QCOM
389,DGX
390,RL
391,RJF
392,RTX
393,O
394,REG
395,REGN
396,RF
397,RSG
398,RMD
399,RHI
