,Symbol
239,HBAN
240,HII
241,IEX
242,IDXX
243,INFO
244,ITW
245,ILMN
246,INCY
247,IR
248,INTC
249,ICE
250,IBM
251,IP
252,IPG
253,IFF
254,INTU
255,ISRG
256,IVZ
257,IPGP
258,IQV
259,IRM
260,JKHY
261,J
262,JBHT
263,SJM
264,JNJ
265,JCI
266,JPM
267,JNPR
268,KSU
269,K
270,KEY
271,KEYS
272,KMB
273,KIM
274,KMI
275,KLAC
276,KHC
277,KR
278,LB
279,LHX
280,LH
281,LRCX
282,LW
283,LVS
284,LEG
285,LDOS
286,LEN
287,LLY
288,LNC
289,LIN
290,LYV
291,LKQ
292,LMT
293,L
294,LOW
295,LUMN
296,LYB
297,MTB
298,MRO
299,MPC
300,MKTX
301,MAR
302,MMC
303,MLM
304,MAS
305,MA
306,MKC
307,MXIM
308,MCD
309,MCK
310,MDT
311,MRK
312,MET
313,MTD
314,MGM
315,MCHP
316,MU
317,MSFT
318,MAA
