,Symbol
0,MMM
1,ABT
2,ABBV
3,ABMD
4,ACN
5,ATVI
6,ADBE
7,AMD
8,AAP
9,AES
10,AFL
11,A
12,APD
13,AKAM
14,ALK
15,ALB
16,ARE
17,ALXN
18,ALGN
19,ALLE
20,LNT
21,ALL
22,GOOGL
23,GOOG
24,MO
25,AMZN
26,AMCR
27,AEE
28,AAL
29,AEP
30,AXP
31,AIG
32,AMT
33,AWK
34,AMP
35,ABC
36,AME
37,AMGN
38,APH
39,ADI
40,ANSS
41,ANTM
42,AON
43,AOS
44,APA
45,AIV
46,AAPL
47,AMAT
48,APTV
49,ADM
50,ANET
51,AJG
52,AIZ
53,T
54,ATO
55,ADSK
56,ADP
57,AZO
58,AVB
59,AVY
60,BKR
61,BLL
62,BAC
63,BK
64,BAX
65,BDX
66,BRK.B
67,BBY
68,BIO
69,BIIB
70,BLK
71,BA
72,BKNG
73,BWA
74,BXP
75,BSX
76,BMY
77,AVGO
78,BR
79,BF.B
80,CHRW
