,Symbol
400,ROK
401,ROL
402,ROP
403,ROST
404,RCL
405,SPGI
406,CRM
407,SBAC
408,SLB
409,STX
410,SEE
411,SRE
412,NOW
413,SHW
414,SPG
415,SWKS
416,SLG
417,SNA
418,SO
419,LUV
420,SWK
421,SBUX
422,STT
423,STE
424,SYK
425,SIVB
426,SYF
427,SNPS
428,SYY
429,TMUS
430,TROW
431,TTWO
432,TPR
433,TGT
434,TEL
435,FTI
436,TDY
437,TFX
438,TER
439,TXN
440,TXT
441,TMO
442,TIF
443,TJX
444,TSCO
445,TT
446,TDG
447,TRV
448,TFC
449,TWTR
450,TYL
451,TSN
452,UDR
453,ULTA
454,USB
455,UAA
456,UA
457,UNP
458,UAL
459,UNH
460,UPS
461,URI
462,UHS
463,UNM
464,VFC
465,VLO
466,VAR
467,VTR
468,VRSN
469,VRSK
470,VZ
471,VRTX
472,VIAC
473,V
474,VNT
475,VNO
476,VMC
477,WRB
478,WAB
479,WMT
480,WBA
481,DIS
482,WM
483,WAT
484,WEC
485,WFC
486,WELL
487,WST
488,WDC
489,WU
490,WRK
491,WY
492,WHR
493,WMB
494,WLTW
495,WYNN
496,XEL
497,XRX
498,XLNX
499,XYL
500,YUM
501,ZBRA
502,ZBH
503,ZION
504,ZTS
